,sc_id,msnv_id,intervention,seg_start_stamp,trigger_start_stamp,fade_stamp,seg_end_stamp,firstfixation_stamp,trigger_delay,numfixations,timetofirstfixation,trigger_to_fixation_time,imm_processed
900,51,3,3_ref_102_rule,980410,1074065.0,1083908.0,1121436,-1.0,93655.0,0.0,-1.0,,0
902,51,5,5_ref_100_rule,626855,648323.0,659381.0,761711,728418.0,21468.0,13.0,101563.0,80095.0,0
903,51,5,5_ref_101_rule,626855,659381.0,668241.0,761711,721531.0,32526.0,3.0,94676.0,62150.0,0
904,51,5,5_ref_103_rule,626855,668241.0,681681.0,761711,683049.0,41386.0,29.0,56194.0,14808.0,0
906,51,9,9_ref_101_rule,416343,435993.0,447959.0,472570,455957.0,19650.0,4.0,39614.0,19964.0,0
909,51,20,20_ref_100_rule,1218177,1227798.0,1235143.0,1259124,1248031.0,9621.0,4.0,29854.0,20233.0,0
911,51,27,27_ref_103_rule,139078,161460.0,170053.0,215808,191924.0,22382.0,13.0,52846.0,30464.0,0
912,51,27,27_ref_102_rule,139078,170053.0,174284.0,215808,-1.0,30975.0,0.0,-1.0,,0
914,51,28,28_ref_100_rule,1276745,1286512.0,1293074.0,1361220,-1.0,9767.0,0.0,-1.0,,0
915,51,28,28_ref_101_rule,1276745,1293074.0,1310527.0,1361220,1297522.0,16329.0,5.0,20777.0,4448.0,1
916,51,28,28_ref_104_rule,1276745,1310527.0,1320578.0,1361220,1344465.0,33782.0,1.0,67720.0,33938.0,0
919,51,60,60_ref_101_rule,240807,251458.0,262150.0,297775,296335.0,10651.0,2.0,55528.0,44877.0,0
921,51,62,62_ref_100_rule,1392531,1402132.0,1408069.0,1431203,1427897.0,9601.0,1.0,35366.0,25765.0,0
923,51,66,66_ref_101_rule,808945,829868.0,834007.0,867213,841739.0,20923.0,1.0,32794.0,11871.0,0
925,51,72,72_ref_100_rule,51930,63959.0,72427.0,101713,-1.0,12029.0,0.0,-1.0,,0
928,54,3,3_ref_106_rule,708840,718333.0,731947.0,794797,748487.0,9493.0,8.0,39647.0,30154.0,0
929,54,3,3_ref_101_rule,708840,731947.0,738367.0,794797,776792.0,23107.0,3.0,67952.0,44845.0,0
930,54,3,3_ref_100_rule,708840,738367.0,752115.0,794797,-1.0,29527.0,0.0,-1.0,,0
931,54,3,3_ref_105_rule,708840,752115.0,760434.0,794797,754583.0,43275.0,10.0,45743.0,2468.0,1
932,54,3,3_ref_102_rule,708840,760434.0,767895.0,794797,776509.0,51594.0,3.0,67669.0,16075.0,0
934,54,5,5_ref_100_rule,222628,235519.0,244063.0,320769,295778.0,12891.0,13.0,73150.0,60259.0,0
935,54,5,5_ref_101_rule,222628,244063.0,252406.0,320769,293979.0,21435.0,3.0,71351.0,49916.0,0
936,54,5,5_ref_103_rule,222628,252406.0,262782.0,320769,305621.0,29778.0,11.0,82993.0,53215.0,0
938,54,9,9_ref_101_rule,594803,612531.0,619750.0,670008,632726.0,17728.0,8.0,37923.0,20195.0,0
941,54,20,20_ref_100_rule,1008172,1012931.0,1022432.0,1047478,1018673.0,4759.0,11.0,10501.0,5742.0,1
943,54,27,27_ref_103_rule,841973,856668.0,874863.0,903363,862949.0,14695.0,14.0,20976.0,6281.0,1
944,54,27,27_ref_102_rule,841973,874863.0,882890.0,903363,880629.0,32890.0,2.0,38656.0,5766.0,1
946,54,28,28_ref_100_rule,1078698,1087465.0,1091554.0,1139757,1111393.0,8767.0,5.0,32695.0,23928.0,0
947,54,28,28_ref_101_rule,1078698,1091554.0,1099248.0,1139757,1109928.0,12856.0,4.0,31230.0,18374.0,0
948,54,28,28_ref_104_rule,1078698,1099248.0,1103203.0,1139757,1109112.0,20550.0,3.0,30414.0,9864.0,0
951,54,60,60_ref_101_rule,518290,523907.0,533200.0,556671,537301.0,5617.0,5.0,19011.0,13394.0,0
953,54,62,62_ref_100_rule,1163524,1176937.0,1180635.0,1222991,1202530.0,13413.0,8.0,39006.0,25593.0,0
955,54,66,66_ref_101_rule,121274,143598.0,148802.0,189626,167658.0,22324.0,7.0,46384.0,24060.0,0
957,54,72,72_ref_100_rule,1271574,1277552.0,1283380.0,1321147,1296007.0,5978.0,1.0,24433.0,18455.0,0
960,56,3,3_ref_106_rule,670287,682243.0,691344.0,735674,-1.0,11956.0,0.0,-1.0,,0
961,56,3,3_ref_101_rule,670287,691344.0,697631.0,735674,-1.0,21057.0,0.0,-1.0,,0
962,56,3,3_ref_100_rule,670287,697631.0,704492.0,735674,-1.0,27344.0,0.0,-1.0,,0
963,56,3,3_ref_105_rule,670287,704492.0,711446.0,735674,729536.0,34205.0,1.0,59249.0,25044.0,0
964,56,3,3_ref_102_rule,670287,711446.0,715867.0,735674,-1.0,41159.0,0.0,-1.0,,0
966,56,5,5_ref_100_rule,572130,589423.0,595152.0,639799,631880.0,17293.0,3.0,59750.0,42457.0,0
967,56,5,5_ref_101_rule,572130,595152.0,599199.0,639799,-1.0,23022.0,0.0,-1.0,,0
968,56,5,5_ref_103_rule,572130,599199.0,604462.0,639799,-1.0,27069.0,0.0,-1.0,,0
970,56,9,9_ref_101_rule,213996,225461.0,231257.0,259323,240412.0,11465.0,7.0,26416.0,14951.0,0
973,56,20,20_ref_100_rule,447934,454269.0,458408.0,468578,462691.0,6335.0,1.0,14757.0,8422.0,0
