,sc_id,msnv_id,intervention,seg_start_stamp,trigger_start_stamp,seg_end_stamp,trigger_delay,numfixations,timetofirstfixation,trigger_to_fixation_time
278,14,9,9_ref_100_rule,709577,731488.0,739198,21911.0,3.0,23775.0,1864.0
279,14,30,30_ref_100_rule,758185,768509.0,794967,10324.0,6.0,21268.0,10944.0
280,14,28,28_ref_100_rule,818010,826714.0,850570,8704.0,0.0,-1.0,
281,14,28,28_ref_101_rule,818010,834658.0,850570,16648.0,2.0,30212.0,13564.0
282,14,28,28_ref_104_rule,818010,839237.0,850570,21227.0,2.0,23791.0,2564.0
283,14,66,66_ref_101_rule,867583,887691.0,902900,20108.0,3.0,21277.0,1169.0
284,14,20,20_ref_100_rule,925359,934671.0,950458,9312.0,2.0,18728.0,9416.0
285,14,20,20_ref_101_rule,925359,940675.0,950458,15316.0,3.0,22801.0,7485.0
286,15,76,76_ref_101_rule,55246,65950.0,117135,10704.0,,,
287,15,76,76_ref_100_rule,55246,91088.0,117135,35842.0,,,
288,15,74,74_ref_101_rule,152195,173466.0,211878,21271.0,5.0,28913.0,7642.0
289,15,62,62_ref_100_rule,229641,248374.0,313182,18733.0,11.0,21626.0,2893.0
290,15,62,62_ref_101_rule,229641,256193.0,313182,26552.0,5.0,60357.0,33805.0
291,15,3,3_ref_106_rule,366137,392394.0,546769,26257.0,14.0,96773.0,70516.0
292,15,3,3_ref_101_rule,366137,408989.0,546769,42852.0,5.0,160654.0,117802.0
293,15,3,3_ref_100_rule,366137,417849.0,546769,51712.0,3.0,113095.0,61383.0
294,15,3,3_ref_105_rule,366137,430006.0,546769,63869.0,15.0,93742.0,29873.0
295,15,3,3_ref_102_rule,366137,443170.0,546769,77033.0,5.0,134405.0,57372.0
